,caption,likes,comments,date,url,likes/followers,comments/followers,username
0,"💕 Spread the love this Valentine’s Day with Taichi Bubble Tea’s sweet deal! Forward this post to your social media to unlock our BOGO FREE promo. Come in on 2/14, show us your post, and enjoy two drinks for the price of one! Share a sip with someone special! 💌
(The free drink will be of equal or lesser value. Participating locations only, check your local store for promotion availability.)
.
.
.
📸 #taichibubbletea: Tag us as collaborators, and you may get featured!
.
.
.
#taichibubbletea #taichitea #instadrink #instafood #bubble #bubbletea #bubbletealover #boba #bobatea #bobatealover #milktea #milktealover #foodporn #foodstagram #rocfoodies #chicagofoodie #atlantafoodies #athensfood #marylandfoodie #syracuseeats #buffalofoodie #longislandfoodie #nyfoodie #slcfoodie #ctfoodie #valentines #valentinesday",822,8,2024-02-13T05:48:57,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428036359_18375157276077642_4442229732257994609_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=SgXTLHjtz5IAX_PRhmB&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwMTYxNjE0ODU0NDM0MzkyMA%3D%3D.2-ccb7-5&oh=00_AfBSNlvve_HRcZZCN5Vw2RFgxyqgjI4yzccZkVw08MuRyg&oe=65E2ED6F&_nc_sid=fc8dfb,0.02758667,0.000268483,taichibubbletea
1,"Sip into something new and exciting! We’re thrilled to introduce the latest addition to our Lemon Series - the Dragon Fruit Lemon Series. It’s the perfect blend of tangy and sweet, with a dragon fruit twist that will have your taste buds dancing. 
(Available at select Taichi Bubble Tea locations now, coming to more locations in the future)
.
.
.
📸 #taichibubbletea: Tag us as collaborators, and you may get featured!
.
.
.
#taichibubbletea #taichitea #instadrink #instafood #bubble #bubbletea #bubbletealover #boba #bobatea #bobatealover #milktea #milktealover #foodporn #foodstagram #rocfoodies #chicagofoodie #atlantafoodies #athensfood #marylandfoodie #syracuseeats #buffalofoodie #longislandfoodie #nyfoodie #slcfoodie #ctfoodie",380,0,2024-02-14T09:03:23,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428136042_18375324247077642_6145672577252274535_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=seAGK6n1N68AX9QxxGb&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwMjQzODc5MTA2MTM1NzI0MQ%3D%3D.2-ccb7-5&oh=00_AfB4PR9ScJzXp-NH4N73v5N1OMe11-Zcw5MRj5xbcvEdGA&oe=65E2AE63&_nc_sid=fc8dfb,0.012752962,0,taichibubbletea
2,"Sip, sip, hooray! Treat yourself to your favorite or dare to try something new – we’ve got a flavor for every mood! 
.
.
.
📸 #taichibubbletea: Tag us as collaborators, and you may get featured!
.
.
.
#taichibubbletea #taichitea #instadrink #instafood #bubble #bubbletea #bubbletealover #boba #bobatea #bobatealover #milktea #milktealover #foodporn #foodstagram #rocfoodies #chicagofoodie #atlantafoodies #athensfood #marylandfoodie #syracuseeats #buffalofoodie #longislandfoodie #nyfoodie #slcfoodie #ctfoodie",352,0,2024-02-22T08:54:42,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428620652_18376536124077642_231312086885027151_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNTM0eDE1MzQuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=MgfM1hAIzF0AX_dxOon&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwODIzMjYyMjIwOTg1NjY4OQ%3D%3D.2-ccb7-5&oh=00_AfBFB_dE2UREi7CWwxhouGy7FEowwe3-RKaZzLwRhYRqZQ&oe=65E33B16&_nc_sid=fc8dfb,0.01181327,0,taichibubbletea
3,"Sip on the sweet melody of our Honeydew Milk Tea, indulge in the rich, creamy swirls of Taro Milk Tea, or bask in the bold, aromatic flavors of our Thai Tea. Perfect for those cozy winter moments!
.
.
.
📸 #taichibubbletea: Tag us as collaborators, and you may get featured!
.
.
.
#taichibubbletea #taichitea #instadrink #instafood #bubble #bubbletea #bubbletealover #boba #bobatea #bobatealover #milktea #milktealover #foodporn #foodstagram #rocfoodies #chicagofoodie #atlantafoodies #athensfood #marylandfoodie #syracuseeats #buffalofoodie #longislandfoodie #nyfoodie #slcfoodie #ctfoodie",349,0,2024-02-17T01:23:31,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428344866_18375728878077642_1723022424465811974_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNTM2eDE1MzYuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=fTpMseNUnS8AX8k8fKv&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwNDM4MTY2MDk1NDY4MDEzNw%3D%3D.2-ccb7-5&oh=00_AfDzrSWcpLjNNJS20MTP4xLwi9tOM7tE3ScodIN7w01nRg&oe=65E29C09&_nc_sid=fc8dfb,0.011712589,0,taichibubbletea
4,"Creamy taro meets the sweet blush of strawberries, each with bouncy boba pearls to make your every sip a mini celebration. Grab a friend and share the joy at Taichi Bubble Tea. 
.
.
.
📸 #taichibubbletea: Tag us as collaborators, and you may get featured!
.
.
.
#taichibubbletea #taichitea #instadrink #instafood #bubble #bubbletea #bubbletealover #boba #bobatea #bobatealover #milktea #milktealover #foodporn #foodstagram #rocfoodies #chicagofoodie #atlantafoodies #athensfood #marylandfoodie #syracuseeats #buffalofoodie #longislandfoodie #nyfoodie #slcfoodie #ctfoodie",344,0,2024-02-16T02:57:18,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/426557744_18375594130077642_5736301798130215297_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzkxeDEzOTEuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=Xb4YHilVWd8AX-SiuF9&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwMzcwNDA4NDA2MTk4ODk5OA%3D%3D.2-ccb7-5&oh=00_AfBCP8zwv09Yd8kNSHvEONnzXh_a2Hc8g5dSqZX-1fUEgw&oe=65E343AC&_nc_sid=fc8dfb,0.011544786,0,taichibubbletea
5,"The classic that never goes out of style - our Original Milk Tea with boba. Come by and grab your cup of happiness today!
.
.
.
📸 #taichibubbletea: Tag us as collaborators, and you may get featured!
.
.
.
#taichibubbletea #taichitea #instadrink #instafood #bubble #bubbletea #bubbletealover #boba #bobatea #bobatealover #milktea #milktealover #foodporn #foodstagram #rocfoodies #chicagofoodie #atlantafoodies #athensfood #marylandfoodie #syracuseeats #buffalofoodie #longislandfoodie #nyfoodie #slcfoodie #ctfoodie",332,1,2024-02-24T03:42:50,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428617830_18376794289077642_1275406541246756157_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzgxeDEzODEuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=CByhh1XlPsYAX9sI-HF&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwOTUyNTIxMTAzODkwMTQyOQ%3D%3D.2-ccb7-5&oh=00_AfBT7LXOKP7k86r1kHMsUtry3pzr9hDw5l2GXc310xtvOQ&oe=65E2B04D&_nc_sid=fc8dfb,0.011142061,3.36E-05,taichibubbletea
6,"Step into flavor town with us! Dive into our hearty beef rice bowl, slurp up some authentic miso ramen, and sip on the creamy goodness of our Taichi original milk tea with boba. 
.
.
.
📸 #taichibubbletea: Tag us as collaborators, and you may get featured!
.
.
.
#taichibubbletea #taichitea #instadrink #instafood #bubble #bubbletea #bubbletealover #boba #bobatea #bobatealover #milktea #milktealover #foodporn #foodstagram #rocfoodies #chicagofoodie #atlantafoodies #athensfood #marylandfoodie #syracuseeats #buffalofoodie #longislandfoodie #nyfoodie #slcfoodie #ctfoodie",326,1,2024-02-26T16:24:02,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/429526567_18377182222077642_6597867022794836670_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDI3eDE0Mjcuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=nPjyVY3kLBoAX__m5BG&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMxMTM1Nzg4NTI0MTczMTQzMw%3D%3D.2-ccb7-5&oh=00_AfDDFlCk_ovMnYC3WWDxBZYv-xDP0w6Pi_fV6aPfBO2kJQ&oe=65E3DC20&_nc_sid=fc8dfb,0.010940699,3.36E-05,taichibubbletea
7,"Introducing the ultimate comfort meal - our Roasted Chicken Rice Box! Tender, juicy chicken with a golden sear, served with a side of wholesome steamed broccoli and sweet corn over fluffy rice, all sprinkled with a touch of sesame. It’s the simple, satisfying lunch you’ve been craving!
.
.
.
📸 #taichibubbletea: Tag us as collaborators, and you may get featured!
.
.
.
#taichibubbletea #taichitea #instadrink #instafood #bubble #bubbletea #bubbletealover #boba #bobatea #bobatealover #milktea #milktealover #foodporn #foodstagram #rocfoodies #chicagofoodie #atlantafoodies #athensfood #marylandfoodie #syracuseeats #buffalofoodie #longislandfoodie #nyfoodie #slcfoodie #ctfoodie",326,0,2024-02-18T02:46:21,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428168968_18375906823077642_9088640742599228930_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDc5eDE0Nzkuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=RbRNmZ2bClYAX8iFTUi&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwNTE0ODEyMzkwNjk2MDQ2Ng%3D%3D.2-ccb7-5&oh=00_AfAYFnH7Cgv8jswgeR0HP8A-Cvuvek2hsODXyj2ftrhSng&oe=65E38168&_nc_sid=fc8dfb,0.010940699,0,taichibubbletea
8,"🎊 Step up your fortune this Lunar New Year with Taichi Bubble Tea’s Lucky Spin! Spend a minimum of $25 and take your chance at the wheel for instant wins. Who knows? The next spin could fill your new year with extra luck and joy. Visit us, celebrate, and win! 🎉
(Participating locations only, check your local store for promotion availability)
.
.
.
📸 #taichibubbletea: Tag us as collaborators, and you may get featured!
.
.
.
#taichibubbletea #taichitea #instadrink #instafood #bubble #bubbletea #bubbletealover #boba #bobatea #bobatealover #milktea #milktealover #foodporn #foodstagram #rocfoodies #chicagofoodie #atlantafoodies #athensfood #marylandfoodie #syracuseeats #buffalofoodie #longislandfoodie #nyfoodie #slcfoodie #ctfoodie",319,0,2024-02-12T00:33:46,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428198378_18374974120077642_5684622238933270415_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=eLzYPWU1QLcAX_PYH39&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwMDczMjczNDI5MjY4Mzk4Ng%3D%3D.2-ccb7-5&oh=00_AfBiOdl4Mu7CuuE26NY4PSVvx6qjdL0xrgOwRSgg5AtaXw&oe=65E4296F&_nc_sid=fc8dfb,0.010705776,0,taichibubbletea
9,"Color your day with a cup of joy from us. Whether you’re in the mood for a fruity blast, a sweet treat, or a creamy delight, we’ve got you covered. Pick your favorite or try them all! 
.
.
.
📸 #taichibubbletea: Tag us as collaborators, and you may get featured!
.
.
.
#taichibubbletea #taichitea #instadrink #instafood #bubble #bubbletea #bubbletealover #boba #bobatea #bobatealover #milktea #milktealover #foodporn #foodstagram #rocfoodies #chicagofoodie #atlantafoodies #athensfood #marylandfoodie #syracuseeats #buffalofoodie #longislandfoodie #nyfoodie #slcfoodie #ctfoodie",290,0,2024-02-27T07:13:26,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/429648343_18377266036077642_9010989223385814079_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDExNTEuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=106&_nc_ohc=BmsjKMUaknsAX-_0G7L&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMxMTgwNTUyOTQ0NDAwNTk3NQ%3D%3D.2-ccb7-5&oh=00_AfAPmYnk3T7nJofe45RUZYJkle_6g-s5aGld8cBOMk-Bpw&oe=65E2CAAB&_nc_sid=fc8dfb,0.009732523,0,taichibubbletea
